kit,algorithm,variant,fms,fms_raw,n_disconnected,too_pessimistic,too_optimistic,matched
07_Cassacco_targeted-3,water_network,margin_2.0+split_full,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,margin_3.0+split_full,1.0,0.8085,243,0,0,410
07_Cassacco_targeted-3,water_network,margin_2.0+split_0.5,1.0,0.8085,243,0,0,410
08_Net3_cluster-17,water_network,control,0.7698,0.7698,1,7,0,52
08_Net3_cluster-17,water_network,vfloor_0.5,0.7698,0.7698,1,7,0,52
08_Net3_cluster-17,water_network,vfloor_1.0,0.9256,0.9256,1,6,0,53
08_Net3_cluster-17,water_network,vfloor_2.0,0.9328,0.9328,1,5,0,54
08_Net3_cluster-17,water_network,constv_1.0,0.3449,0.3449,1,25,0,34
08_Net3_cluster-17,water_network,constv_2.0,0.603,0.603,1,9,0,50
08_Net3_cluster-17,water_network,margin_1.5,0.9328,0.9328,1,5,0,54
08_Net3_cluster-17,water_network,margin_2.0,0.9328,0.9328,1,5,0,54
08_Net3_cluster-17,water_network,margin_3.0,0.9504,0.9504,1,4,0,55
08_Net3_cluster-17,water_network,margin_5.0,0.9504,0.9504,1,4,0,55
08_Net3_cluster-17,water_network,bidir_1.0,0.7691,0.7691,1,7,0,52
08_Net3_cluster-17,water_network,bidir_0.5,0.8311,0.8311,1,3,0,56
08_Net3_cluster-17,water_network,uncap_pv,0.7698,0.7698,1,7,0,52
08_Net3_cluster-17,water_network,supply_unbounded,0.7698,0.7698,1,7,0,52
08_Net3_cluster-17,water_network,split_floor_0.5,0.9504,0.9504,1,4,0,55
08_Net3_cluster-17,water_network,split_full,0.9504,0.9504,1,4,0,55
08_Net3_cluster-17,water_network,bidir+vfloor_1.0,0.6772,0.6772,1,14,0,45
08_Net3_cluster-17,water_network,bidir+margin_1.5,0.9942,0.9942,1,0,1,58
08_Net3_cluster-17,water_network,bidir+uncap_pv,0.7691,0.7691,1,7,0,52
08_Net3_cluster-17,water_network,margin_2.0+split_full,0.9504,0.9504,1,4,0,55
08_Net3_cluster-17,water_network,margin_3.0+split_full,0.9504,0.9504,1,4,0,55
08_Net3_cluster-17,water_network,margin_2.0+split_0.5,0.9504,0.9504,1,4,0,55
09_Zampis_targeted-26,water_network,control,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,vfloor_0.5,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,vfloor_1.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,vfloor_2.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,constv_1.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,constv_2.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,margin_1.5,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,margin_2.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,margin_3.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,margin_5.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,bidir_1.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,bidir_0.5,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,uncap_pv,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,supply_unbounded,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,split_floor_0.5,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,split_full,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,bidir+vfloor_1.0,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,bidir+margin_1.5,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,bidir+uncap_pv,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,margin_2.0+split_full,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,margin_3.0+split_full,0.7804,0.7804,0,198,0,403
09_Zampis_targeted-26,water_network,margin_2.0+split_0.5,0.7804,0.7804,0,198,0,403
10_Net3_targeted-4,water_network,control,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,vfloor_0.5,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,vfloor_1.0,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,vfloor_2.0,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,constv_1.0,0.546,0.546,0,18,0,41
10_Net3_targeted-4,water_network,constv_2.0,0.6296,0.6296,0,15,0,44
10_Net3_targeted-4,water_network,margin_1.5,0.9887,0.9887,0,0,3,56
10_Net3_targeted-4,water_network,margin_2.0,0.9887,0.9887,0,0,3,56
10_Net3_targeted-4,water_network,margin_3.0,0.9887,0.9887,0,0,3,56
10_Net3_targeted-4,water_network,margin_5.0,0.9887,0.9887,0,0,3,56
10_Net3_targeted-4,water_network,bidir_1.0,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,bidir_0.5,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,uncap_pv,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,supply_unbounded,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,split_floor_0.5,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,split_full,0.9413,0.9413,0,14,0,45
10_Net3_targeted-4,water_network,bidir+vfloor_1.0,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,bidir+margin_1.5,0.9887,0.9887,0,0,3,56
10_Net3_targeted-4,water_network,bidir+uncap_pv,0.7854,0.7854,0,15,0,44
10_Net3_targeted-4,water_network,margin_2.0+split_full,0.9887,0.9887,0,0,3,56
10_Net3_targeted-4,water_network,margin_3.0+split_full,0.9887,0.9887,0,0,3,56
10_Net3_targeted-4,water_network,margin_2.0+split_0.5,0.9887,0.9887,0,0,3,56
